Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:53Z , 1.25 , 0.578125 , 0.19921875  , 0.19999999999999996 , 0.848125 , -0.640625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:54Z , 0.77734375 , -0.5 , -0.19921875  , -0.22265625 , 0.7000000000000001 , -1.19921875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:54Z , 0.77734375 , -0.5 , -0.19921875  , -0.17812499999999998 , 0.4600000000000001 , -0.9593750000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:55Z , 0.7578125 , -0.0078125 , -0.05859375  , -0.2421875 , 0.7984375 , -1.05859375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:55Z , 0.7578125 , -0.0078125 , -0.05859375  , -0.19374999999999998 , 0.6371875 , -0.846875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:57Z , 0.859375 , -0.2890625 , -0.33984375  , -0.140625 , 0.7421875 , -1.33984375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:57Z , 0.859375 , -0.2890625 , -0.33984375  , -0.11250000000000004 , 0.5359375 , -1.071875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:57Z , 0.7890625 , -0.38671875 , -0.41796875  , -0.2109375 , 0.72265625 , -1.41796875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:57Z , 0.7890625 , -0.38671875 , -0.41796875  , -0.16874999999999996 , 0.50078125 , -1.134375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:58Z , 1.0390625 , 0.7265625 , 0.0078125  , 0.0390625 , 0.9453125 , -0.9921875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:58Z , 1.0390625 , 0.7265625 , 0.0078125  , 0.03125 , 0.9015625 , -0.7937500000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:59Z , 0.6796875 , -0.65625 , -0.63671875  , -0.3203125 , 0.6687500000000001 , -1.63671875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:59Z , 0.6796875 , -0.65625 , -0.63671875  , -0.25625 , 0.40375000000000005 , -1.3093750000000002
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:00Z , 0.51953125 , -0.0390625 , -0.6484375  , -0.48046875 , 0.7921875 , -1.6484375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:00Z , 0.51953125 , -0.0390625 , -0.6484375  , -0.384375 , 0.6259375 , -1.31875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:02Z , 0.4375 , -0.7578125 , -0.69921875  , -0.5625 , 0.6484375000000001 , -1.69921875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:02Z , 0.4375 , -0.7578125 , -0.69921875  , -0.45000000000000007 , 0.3671875000000002 , -1.359375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:03Z , 0.96875 , 0.51953125 , -0.1875  , -0.03125 , 0.90390625 , -1.1875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:03Z , 0.96875 , 0.51953125 , -0.1875  , -0.025000000000000022 , 0.82703125 , -0.9500000000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:04Z , 0.66796875 , -0.2578125 , -0.546875  , -0.33203125 , 0.7484375000000001 , -1.546875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:04Z , 0.66796875 , -0.2578125 , -0.546875  , -0.265625 , 0.5471875000000002 , -1.2375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:05Z , 0.80859375 , -0.52734375 , -0.33984375  , -0.19140625 , 0.69453125 , -1.33984375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:05Z , 0.80859375 , -0.52734375 , -0.33984375  , -0.15312499999999996 , 0.45015625000000004 , -1.071875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:06Z , 0.83984375 , 0.63671875 , -0.38671875  , -0.16015625 , 0.92734375 , -1.38671875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:06Z , 0.83984375 , 0.63671875 , -0.38671875  , -0.12812500000000004 , 0.86921875 , -1.109375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:07Z , 0.65625 , -0.44921875 , -0.48828125  , -0.34375 , 0.71015625 , -1.48828125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:07Z , 0.65625 , -0.44921875 , -0.48828125  , -0.275 , 0.4782812500000001 , -1.190625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:07Z , 0.80859375 , -0.63671875 , -0.51953125  , -0.19140625 , 0.6726562500000001 , -1.51953125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:07Z , 0.80859375 , -0.63671875 , -0.51953125  , -0.15312499999999996 , 0.4107812500000001 , -1.2156250000000002
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:54:08Z , 0.69921875 , 0.3671875 , -0.33984375  , -0.30078125 , 0.8734375000000001 , -1.33984375
